citation_key,title,year,venue,architectural_family,primary_estimand,secondary_estimands,evidence_source,pipeline_stage,tasks,datasets,source_url,code_url,status,notes
sun2018graftnet,GRAFT-Net: Graph Retrieval-Augmented Network for Textual and Knowledge Base Question Answering,2018,EMNLP,graph_kg,observability,fusion,hybrid,end_to_end,multi-hop QA,WikiMovies;WebQuestionsSP,https://aclanthology.org/D18-1455/,,seeded,Graph expansion and graph-based evidence composition.
sun2019pullnet,PullNet: Open Domain Question Answering with Iterative Retrieval on Knowledge Bases and Text,2019,EMNLP-IJCNLP,graph_kg,observability,selection,hybrid,retrieve,open-domain multi-hop QA,MetaQA;WebQuestionsSP,https://aclanthology.org/D19-1242/,,seeded,Iteratively expands a question-specific graph.
min2019decomprc,Multi-hop Reading Comprehension through Question Decomposition and Rescoring,2019,ACL,decomposition,selection,fusion,text,end_to_end,multi-hop reading comprehension,HotpotQA,https://aclanthology.org/P19-1613/,,reviewed,Decomposes compositional questions into simpler subquestions and globally rescores decompositions.
qiu2019dfgn,Dynamically Fused Graph Network for Multi-hop Reasoning,2019,ACL,graph_kg,fusion,observability,text,end_to_end,multi-hop QA,HotpotQA,https://aclanthology.org/P19-1617/,,reviewed,Builds and traverses an entity graph over scattered text evidence.
asai2020pathretriever,Learning to Retrieve Reasoning Paths over Wikipedia Graph for Question Answering,2020,ICLR,retrieval,observability,selection,text,retrieve,open-domain multi-hop QA,HotpotQA;SQuAD Open;Natural Questions Open,https://openreview.net/forum?id=SJgVHkrYDH,https://github.com/AkariAsai/learning_to_retrieve_reasoning_paths,reviewed,Sequentially retrieves evidence paragraphs conditioned on earlier hops.
perez2020onus,Unsupervised Question Decomposition for Question Answering,2020,EMNLP,decomposition,selection,fusion,text,end_to_end,multi-hop QA,HotpotQA,https://aclanthology.org/2020.emnlp-main.713/,,reviewed,Learns one-to-many decomposition without manually labeled decompositions and recomposes subanswers.
feng2020mhgrn,Scalable Multi-Hop Relational Reasoning for Knowledge-Aware Question Answering,2020,EMNLP,graph_kg,fusion,observability,knowledge_graph,end_to_end,commonsense multi-hop QA,CommonsenseQA;OpenBookQA,https://aclanthology.org/2020.emnlp-main.99/,https://github.com/michiyasunaga/MHGRN,reviewed,Performs multi-hop relational reasoning over extracted knowledge-graph subgraphs.
fang2020hgn,Hierarchical Graph Network for Multi-hop Question Answering,2020,EMNLP,graph_kg,fusion,observability,text,end_to_end,multi-hop QA,HotpotQA,https://aclanthology.org/2020.emnlp-main.710/,https://github.com/yuwfan/HGN,reviewed,Represents question paragraphs sentences and entities at multiple graph granularities.
izacard2021fid,Leveraging Passage Retrieval with Generative Models for Open Domain Question Answering,2021,EACL,fusion_reader,fusion,exposure;selection,text,read_fuse,open-domain QA,NQ;TriviaQA;SQuAD;HotpotQA,https://arxiv.org/abs/2007.01282,https://github.com/facebookresearch/FiD,reviewed,Fusion-in-decoder reader over retrieved passages.
asai2021mdr,Learning Dense Retrieval for Multi-hop Question Answering,2021,NAACL,retrieval,observability,selection,text,retrieve,open-domain multi-hop QA,HotpotQA;2WikiMultiHopQA;MuSiQue,https://aclanthology.org/2021.naacl-main.424/,https://github.com/facebookresearch/multihop_dense_retrieval,reviewed,Dense retriever trained for multi-hop evidence acquisition.
khattab2021baleen,Baleen: Robust Multi-Hop Reasoning at Scale via Condensed Retrieval,2021,NeurIPS,retrieval,observability,exposure;selection,text,end_to_end,multi-hop retrieval;claim verification,HotpotQA;HoVer,https://openreview.net/forum?id=Ghk0AJ8XtVx,https://github.com/stanford-futuredata/Baleen,reviewed,Condenses retrieved evidence between hops to control search and context growth.
fu2021rerc,Decomposing Complex Questions Makes Multi-Hop QA Easier and More Interpretable,2021,Findings EMNLP,decomposition,fusion,observability,text,end_to_end,multi-hop QA,2WikiMultiHopQA,https://aclanthology.org/2021.findings-emnlp.17/,,reviewed,Uses relation extraction reader and comparison stages to form a decomposed evidence path.
yao2023react,ReAct: Synergizing Reasoning and Acting in Language Models,2023,ICLR,agentic,joint,observability;fusion;faithfulness,text,end_to_end,knowledge-intensive QA;interactive agents,HotpotQA;FEVER,https://arxiv.org/abs/2210.03629,https://github.com/ysymyth/ReAct,reviewed,Interleaves natural-language reasoning traces with environment actions such as Wikipedia lookup.
trivedi2023ircot,Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions,2023,ACL,llm_reasoning,observability,selection;fusion,text,end_to_end,knowledge-intensive multi-step QA,HotpotQA;2WikiMultiHopQA;MuSiQue,https://aclanthology.org/2023.acl-long.557/,https://github.com/StonyBrookNLP/ircot,reviewed,Interleaves generated reasoning with retrieval.
jiang2023flare,Active Retrieval Augmented Generation,2023,EMNLP,agentic,observability,selection,text,retrieve,knowledge-intensive generation,ASQA;ELI5;StrategyQA,https://arxiv.org/abs/2305.06983,https://github.com/jzbjyb/FLARE,needs_review,Retrieval is triggered by generation uncertainty; verify the precise multi-hop scope before using it for a focused comparison.
asai2023selfrag,Self-RAG: Learning to Retrieve Generate and Critique through Self-Reflection,2024,ICLR,agentic,joint,observability;selection;faithfulness,text,end_to_end,open-domain QA;fact verification,PopQA;Arc Challenge;PubHealth,https://arxiv.org/abs/2310.11511,https://github.com/AkariAsai/self-rag,reviewed,Joint retrieval generation and critique policy.
sarthi2024raptor,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,2024,ICLR,retrieval,exposure,observability;fusion,text,order,long-context QA;open-domain QA,QuALITY;QASPER;NarrativeQA,https://arxiv.org/abs/2401.18059,https://github.com/parthsarthi03/raptor,reviewed,Changes retrieval granularity and context organization.
yan2024crag,Corrective Retrieval Augmented Generation,2024,arXiv,agentic,selection,observability;exposure,text,verify,knowledge-intensive generation,PopQA;Biography;PubHealth,https://arxiv.org/abs/2401.15884,,reviewed,Evaluates retrieved context and may trigger web search plus decomposition and recomposition.
jeong2024adaptiverag,Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity,2024,arXiv,agentic,joint,observability;selection,text,end_to_end,open-domain QA;multi-hop QA,Single-hop QA;Multi-hop QA,https://arxiv.org/abs/2403.14403,https://github.com/starsuzi/Adaptive-RAG,reviewed,Selects no-retrieval single-step or iterative retrieval strategies from predicted query complexity.
zhang2024beamretrieval,End-to-End Beam Retrieval for Multi-Hop Question Answering,2024,NAACL,retrieval,observability,selection,text,retrieve,multi-hop QA,HotpotQA;2WikiMultiHopQA;MuSiQue,https://aclanthology.org/2024.naacl-long.96/,,reviewed,Maintains multiple partial evidence hypotheses to reduce early-hop search errors.
edge2024graphrag,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,2024,arXiv,graph_kg,exposure,observability,text,order,query-focused summarization;corpus-level QA,Private corpora;podcast transcripts,https://arxiv.org/abs/2404.16130,https://github.com/microsoft/graphrag,reviewed,Builds an entity graph and community summaries to expose local and global corpus evidence.
gutierrez2024hipporag,HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models,2024,NeurIPS,graph_kg,observability,selection,text,retrieve,multi-hop QA;long-term memory,MuSiQue;2WikiMultiHopQA;HotpotQA,https://arxiv.org/abs/2405.14831,https://github.com/OSU-NLP-Group/HippoRAG,reviewed,Uses a graph-based memory index and personalized PageRank for efficient multi-hop retrieval.
zhuang2024efficientrag,EfficientRAG: Efficient Retriever for Multi-Hop Question Answering,2024,EMNLP,decomposition,observability,selection,text,retrieve,multi-hop QA,HotpotQA;2WikiMultiHopQA;MuSiQue,https://aclanthology.org/2024.emnlp-main.199/,,reviewed,Decomposes a multi-hop question while pruning irrelevant subquestions and documents during retrieval.
